"part","type","range","value","country"
"ag","sparse","low",23104520275.7879,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","mean",27452695064.8683,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","high",31801814372.8833,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","low",19558775020.7933,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","mean",23239971156.1217,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","high",26921085059.2361,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","low",83633137895.4756,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","mean",90914409661.5485,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","high",98201434911.9747,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","low",76557497486.1125,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","mean",83220705848.3993,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","high",89891660662.4286,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","low",23109177043.2939,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","mean",27456067717.7322,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","high",31804528507.5927,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","low",19571691003.9694,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","mean",23252186810.8296,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","high",26936263862.987,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","low",83628353234.8591,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","mean",90918038517.136,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","high",98205894115.1977,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","low",76529147046.2764,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","mean",83200439577.4845,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","high",89870269560.7581,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","low",23107777937.2115,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","mean",27454957814.9279,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","high",31803924787.206,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","low",19566569756.6673,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","mean",23247716247.6193,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","high",26929291913.6896,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","low",83679998817.7977,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","mean",90971690086.9162,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","high",98265661082.1473,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
