"type","range","value","country"
"sediment","low",13557359552865.6,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","mean",50903864082241.9,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","high",89000504415265.3,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","low",13584702771553,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","mean",50915155997226,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","high",89017453731888.2,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","low",13580662484682.7,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","mean",50910647198570.4,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","high",89017066619774.7,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","low",13573073533120.3,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","mean",50912016035384,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","high",88985684537289.6,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","low",13571107239759.6,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","mean",50906953140244.6,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","high",89006582257278.8,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","low",13553548440875.5,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","mean",50916907403945.2,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","high",89016139488287.6,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","low",13590782966841,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","mean",50923668827244.3,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","high",89053920453433.2,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","low",13603943554969,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","mean",50913106940293.2,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","high",88986665516760.2,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","low",13571267370930.6,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","mean",50909143129713.8,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","high",89028965744867.9,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","low",13570775016008.4,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","mean",50916037344038.2,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","high",89016875944613.8,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"sediment","low",15401430029.0391,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"sediment","mean",57743670092.1333,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"sediment","high",100955646403.038,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"sediment","low",15407089100.7064,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"sediment","mean",57761603444.6627,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"sediment","high",100941563566.541,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
